party,target,period,n,median_d1,q25,q75,replicate
COMUNES,P1,17,2,-0.9135287005727439,-0.9263366736201382,-0.9007207275253496,97
COMUNES,P2,20,1,-0.8991758534626094,-0.8991758534626094,-0.8991758534626094,97
COMUNES,P3,24,1,-0.8458841291893785,-0.8458841291893785,-0.8458841291893785,97
DC,P1,17,15,-0.17607752295946488,-0.3025966243060836,-0.0824687637333342,97
DC,P2,20,14,-0.16340879145531373,-0.2650824382335008,-0.019257085344172115,97
DC,P3,24,14,-0.16822721140590802,-0.21988025709491776,0.04285422574471096,97
EVOP,P1,17,6,0.6678116109303996,0.6109817407337795,0.7003573591983028,97
EVOP,P2,20,6,0.638853534436445,0.5946769221670698,0.6650902008640416,97
EVOP,P3,24,6,0.5952443339940487,0.5159555665904604,0.640170875442505,97
FRVS,P1,17,1,-0.7215790294611939,-0.7215790294611939,-0.7215790294611939,97
FRVS,P2,20,1,-0.6771109233297398,-0.6771109233297398,-0.6771109233297398,97
FRVS,P3,24,1,-0.6178201151544696,-0.6178201151544696,-0.6178201151544696,97
IND,P1,17,13,-0.6155121073561685,-0.830605648215625,-0.19293533975411145,97
IND,P2,20,11,-0.5841576270412044,-0.6692413026396894,-0.09784973683329112,97
IND,P3,24,11,-0.7196184097222538,-0.7849765398065288,0.020028687961161445,97
LIBERAL,P1,17,2,-0.6914987860101445,-0.6987746890601233,-0.6842228829601658,97
LIBERAL,P2,20,2,-0.6384882494063852,-0.6570212824294288,-0.6199552163833415,97
LIBERAL,P3,24,2,-0.5678075339347046,-0.6013500735885017,-0.5342649942809076,97
PC,P1,17,8,-0.8413997345875399,-0.8643920353310663,-0.8289445787410167,97
PC,P2,20,8,-0.8442798700725146,-0.8540123974641627,-0.837049468248708,97
PC,P3,24,8,-0.8462436141743129,-0.8568615160730081,-0.8373791084683628,97
PCS,P2,20,2,-0.8412302380052902,-0.8473492187279652,-0.8351112572826151,97
PCS,P3,24,1,-0.8400813577552809,-0.8400813577552809,-0.8400813577552809,97
PEV,P1,17,1,-0.9270868012375689,-0.9270868012375689,-0.9270868012375689,97
PEV,P2,20,1,-0.9215362498653463,-0.9215362498653463,-0.9215362498653463,97
PEV,P3,24,1,-0.9141355147023835,-0.9141355147023835,-0.9141355147023835,97
PH,P1,17,3,-0.9349368367715791,-0.9496962459172655,-0.905823302661515,97
PH,P2,20,2,-0.8937679182493218,-0.9002100797720013,-0.8873257567266423,97
PH,P3,24,2,-0.8776940723663976,-0.9121348053260254,-0.8432533394067698,97
PPD,P1,17,6,-0.6291435247524308,-0.7143936582427024,-0.5942624780441366,97
PPD,P2,20,7,-0.6050205845887845,-0.6967248624358384,-0.592779526381275,97
PPD,P3,24,7,-0.6644146761811481,-0.731601981224878,-0.6388240695331302,97
PR,P1,17,6,-0.3707092189662068,-0.4879722627342095,-0.25250580654137134,97
