replicate,log_likelihood,beta,w2,classification_pct,valid_votes,iterations,converged,final_ll_improvement,elapsed_seconds,which,seconds_seeds,seconds_engine
175,-64190.724824362915,4.771095397492513,0.530698218330304,93.8373,436317.0,4.0,0.0,965.587327294794,142.21,replicate,247.0,142.4
176,-64592.53109297426,4.754917307932081,0.528591992897613,93.8184,436394.0,4.0,0.0,479.719627651597,144.27,replicate,248.8,144.5
177,-64369.200369958984,4.863687453773346,0.537083196697534,93.8225,437345.0,4.0,0.0,660.47239558911,142.78,replicate,251.1,143.0
178,-65069.901223174646,4.680633836271869,0.53450060219273,93.7413,435792.0,4.0,0.0,735.676583437642,141.74,replicate,248.5,142.0
179,-64915.39997900857,4.756728618152964,0.523980151618882,93.8425,436593.0,4.0,0.0,631.706888339097,142.19,replicate,252.1,142.4
180,-64762.06875623657,4.755645737211089,0.528737580697625,93.8239,436460.0,4.0,0.0,761.960211246122,141.76,replicate,252.2,142.0
181,-64777.35417753766,4.698919247269091,0.529778379605673,93.7702,434877.0,4.0,0.0,866.103659568624,146.49,replicate,252.3,146.7
182,-64702.79809373646,4.820008744262243,0.528644321349614,93.7988,436514.0,4.0,0.0,726.682234132131,148.26,replicate,253.7,148.5
183,-64581.406403876426,4.805917238364382,0.536174697045326,93.8132,437045.0,4.0,0.0,730.421918323445,147.43,replicate,250.9,147.7
184,-65404.46819884509,4.6966171800241,0.529227840655286,93.7681,436209.0,4.0,0.0,792.452390341059,147.58,replicate,248.3,147.8
185,-64153.91111885104,4.78996912503249,0.532110017528838,93.8266,436094.0,4.0,0.0,728.013999268544,138.23,replicate,246.6,138.5
186,-64261.064524090274,4.790760989595218,0.529048213203713,93.7966,435356.0,4.0,0.0,793.791756663828,137.75,replicate,247.9,138.0
187,-64584.325533153155,4.832567927385337,0.532280535919809,93.7648,435384.0,4.0,0.0,651.58338333229,137.39,replicate,246.3,137.6
188,-64597.99282174391,4.754767772348558,0.538064684284734,93.7973,435905.0,4.0,0.0,670.814274397766,137.69,replicate,245.7,137.9
189,-65206.10015533226,4.686178052428818,0.528180487309476,93.832,436866.0,4.0,0.0,330.625102085978,139.77,replicate,250.3,140.0
190,-64762.46200071386,4.710002945295018,0.533400904864647,93.8291,436536.0,4.0,0.0,746.428484186152,140.07,replicate,248.6,140.3
191,-64357.77871158666,4.812830482236426,0.529494190999793,93.8375,437255.0,4.0,0.0,727.763481000875,139.34,replicate,248.5,139.6
192,-64124.58334492566,4.846131444834256,0.523742567251525,93.8411,435468.0,4.0,0.0,657.640255614468,141.1,replicate,247.7,141.3
