replicate,anchor_rows,determinant,rotation_degrees,alignment_rmse
183,3265.0,1.0000000000000007,1.045586124512315,0.10424832321704838
184,3265.0,1.0000000000000002,2.1758236551203907,0.10331976929707325
185,3265.0,1.0000000000000007,2.206650359345301,0.1007361522141777
186,3265.0,0.9999999999999992,2.456307849583305,0.10754038911167937
187,3265.0,0.9999999999999998,1.5597586518927897,0.10869272980737935
188,3265.0,0.9999999999999998,0.8539109156763602,0.10140897379299611
189,3265.0,0.9999999999999997,1.9696938483423683,0.1129737207694765
190,3265.0,0.9999999999999998,1.8765698543006921,0.10335689498277927
191,3265.0,1.0000000000000002,1.2077093919226383,0.10791033218998156
192,3265.0,0.9999999999999998,1.4168144601341197,0.10295068047448665
193,3265.0,1.0000000000000002,2.156140400489867,0.10229184082951881
194,3265.0,0.9999999999999989,1.5375746171213192,0.09701366061769674
195,3265.0,1.0,0.9918255461371125,0.10265588210816572
196,3265.0,0.9999999999999998,1.3404659884370602,0.11109698773395632
197,3265.0,1.0000000000000004,2.419090183815003,0.11100916768991383
198,3265.0,0.9999999999999994,1.8882653988473246,0.10644590900732902
199,3265.0,0.9999999999999991,1.9272292473736763,0.10255601560315966
200,3265.0,1.0000000000000002,1.3037124437937004,0.10922956917231692
