cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
balanced,EVOP,P2,8,6,0.6751764274662135,999,0.704397923058519,0.02922149559230547,0.01665880396651008,0.6712193551351577,0.7396446776645362,0.6107081772678908,0.6791334997972693
balanced,EVOP,P3,12,6,0.689692482330625,999,0.6904428785143925,0.0007503961837674877,0.038824521011188814,0.6154697151376964,0.7681079722388563,0.6112769924223936,0.7639152495235535
balanced,FRVS,P1,5,1,-0.650312881306413,999,-0.7028947163573697,-0.052581835050956705,0.018841398664547124,-0.7380453599048435,-0.6672625843239309,-0.633363178288895,-0.5625804027079824
balanced,FRVS,P2,8,1,-0.639562775792681,999,-0.663684451306732,-0.02412167551405109,0.017551582637944613,-0.6958947370193797,-0.6261646881701007,-0.6529608634152612,-0.5832308145659822
balanced,FRVS,P3,12,1,-0.625229301774373,999,-0.611404097905882,0.013825203868490954,0.03810858306455104,-0.6853056787387585,-0.5338378823197049,-0.7166207212290411,-0.5651529248099875
balanced,IND,P1,5,12,-0.4533070688802745,999,-0.49876097432778166,-0.04545390544750716,0.014844341658357345,-0.5272578056081352,-0.4695725988086345,-0.4370415389519145,-0.3793563321524138
balanced,IND,P2,8,11,-0.532194455682746,999,-0.5484711328814268,-0.016276677198680756,0.01377034303763361,-0.5758320891857482,-0.5216201451982273,-0.5427687661672648,-0.48855682217974383
balanced,IND,P3,12,11,-0.775545381012329,999,-0.7511340154056338,0.0244113656066951,0.03417174424506961,-0.8175346784757547,-0.6828800963036671,-0.8682106657209908,-0.7335560835489032
balanced,LIBERAL,P1,5,2,-0.5714371538763365,999,-0.6322431191884157,-0.06080596531207916,0.01532437569667304,-0.6611311867879242,-0.6030147509661546,-0.5398595567865184,-0.4817431209647489
balanced,LIBERAL,P2,8,2,-0.6008448048626356,999,-0.6294052668611446,-0.028560461998509035,0.013846781923003064,-0.6565333753329498,-0.6036435761654534,-0.5980460335598178,-0.5451562343923214
balanced,LIBERAL,P3,12,2,-0.6400550061777015,999,-0.6256214637581166,0.014433542419584944,0.032972003700235654,-0.6930553586177887,-0.5611535948151063,-0.7189564175402967,-0.5870546537376143
balanced,PC,P1,5,7,-0.735586384401118,999,-0.7796183877132077,-0.044032003312089674,0.015034063168628369,-0.809472633664256,-0.7502484774430783,-0.7209242913591577,-0.66170013513798
balanced,PC,P2,8,7,-0.804715620725597,999,-0.8254029790613291,-0.020687358335732098,0.012406224904837,-0.8496231138825084,-0.8004313617872136,-0.8089998796639803,-0.7598081275686855
balanced,PC,P3,12,7,-0.901322606148173,999,-0.8815148735977946,0.019807732550378376,0.028085548924980882,-0.9335550399760995,-0.8279045123605246,-0.9747406999358212,-0.8690901723202464
balanced,PCS,P2,8,1,-0.768102296495169,999,-0.8001441213885071,-0.03204182489333807,0.01925907592651503,-0.8363598370408917,-0.7624067437143804,-0.7737978492759576,-0.6998447559494464
balanced,PCS,P3,12,1,-0.772951210860945,999,-0.7639945698285732,0.008956641032371815,0.03960320581922931,-0.8332854115832565,-0.6866478892431457,-0.8592545324787443,-0.7126170101386334
balanced,PEV,P1,5,1,-0.85883701866152,999,-0.907106131146712,-0.048269112485192056,0.026658838652183065,-0.947152435590559,-0.8693251593364608,-0.8483488779865791,-0.770521601732481
balanced,PEV,P2,8,1,-0.895505235301001,999,-0.9107817526430338,-0.015276517342032836,0.025063030041330724,-0.9465879619373284,-0.8739248156914227,-0.9170856549105794,-0.8444225086646736
balanced,PEV,P3,12,1,-0.944396190820311,999,-0.9156825813047961,0.028713609515514937,0.03966998067767769,-0.9879011839897177,-0.839202514290778,-1.049589867349844,-0.9008911976509043
balanced,PH,P1,5,3,-0.899887491424543,999,-0.9414100530840726,-0.0415225616595295,0.018071830448915235,-0.9798759005543058,-0.9084207018452815,-0.8913542810038046,-0.8198990822947803
balanced,PH,P2,8,2,-0.90519762497366,999,-0.9175753634089482,-0.012377738435288221,0.019402842838836434,-0.9468846187854242,-0.8841307700790114,-0.9262644798683085,-0.8635106311618957
balanced,PH,P3,12,2,-0.9222385018021866,999,-0.8937959362415993,0.02844256556058733,0.033952648505784305,-0.9572116606272143,-0.8278200312757851,-1.016656972328588,-0.8872653429771589
balanced,PPD,P1,5,5,-0.513461481115519,999,-0.5611764983256043,-0.04771501721008531,0.018936067932006657,-0.5989127824158732,-0.5241429134889856,-0.5027800487420525,-0.42801017981516487
balanced,PPD,P2,8,5,-0.604162414555985,999,-0.6239953498387709,-0.019832935282785957,0.017070818987571783,-0.6570665664232681,-0.5910969300575313,-0.6172278990544386,-0.5512582626887018
